Nest,BirdID,Sex,Treatment,TimeBowl,TimeFeed,StatusBowl,StatusFeed,Trial,Trial_withR1,Object_noobject,TrialOrder,Round,Average_Neophobia,R2_Minus_R1
14,4163,M,0,177.026,472.55,1,1,4,4,1,1,1,479.9386667,50.22133333
14,4163,M,0,22.95,278.92,1,1,1,7,1,2,2,530.16,50.22133333
14,4163,M,0,900,900,0,0,2,8,1,4,2,530.16,50.22133333
14,4163,M,0,900,900,0,0,3,9,1,5,2,530.16,50.22133333
14,4163,M,0,23.49,41.72,1,1,4,10,1,6,2,530.16,50.22133333
14,4164,M,0,900,900,1,0,1,1,1,1,1,485.5963333,-112.9863333
14,4164,M,0,27.725,552.123,1,1,3,3,1,4,1,485.5963333,-112.9863333
14,4164,M,0,0,4.666,1,1,4,4,1,2,1,485.5963333,-112.9863333
14,4164,M,0,1.58,46.79,1,1,1,7,1,6,2,372.61,-112.9863333
14,4164,M,0,159.33,171.04,1,1,2,8,1,2,2,372.61,-112.9863333
14,4164,M,0,900,900,0,0,3,9,1,1,2,372.61,-112.9863333
14,4165,F,0,31.27,900,1,0,1,1,1,4,1,481.7725,-66.4375
14,4165,F,0,0,80.825,1,1,2,2,1,2,1,481.7725,-66.4375
14,4165,F,0,138.046,900,1,0,3,3,1,5,1,481.7725,-66.4375
14,4165,F,0,25.955,46.265,1,1,4,4,1,6,1,481.7725,-66.4375
14,4165,F,0,270.1,687.46,1,1,1,7,1,4,2,415.335,-66.4375
14,4165,F,0,1.95,29.49,1,1,2,8,1,6,2,415.335,-66.4375
14,4165,F,0,900,900,0,0,3,9,1,1,2,415.335,-66.4375
14,4165,F,0,0,44.39,1,1,4,10,1,5,2,415.335,-66.4375
14,4166,M,0,674.186,900,1,0,1,1,1,4,1,863.5,-585.54
14,4166,M,0,544.466,900,1,0,2,2,1,1,1,863.5,-585.54
14,4166,M,0,900,900,0,0,3,3,1,3,1,863.5,-585.54
